MATERIAL,QUANTITY,DEALER
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
pencil,15,retail
pen,15,retail
